numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2022_02962,2022,PARIS VOLLEY CLUB,51765300000000.0,Aide au fonctionnement et développement duParis Volley Club pour la saison 2021 2022,2300.0,DJS,Fonctionnement,none
2022_00739,2022,ASSOCIATION OEUVRE PARTICIPATIVE,52767500000000.0,PAYSAGE DQuand les murs se transforment avec lacréativité de chacun,2500.0,DDCT,Projet,none
2022_04023,2022,MAISON DES ANCIENS COMBATTANTS DE LA 2E D.B,78436100000000.0,Fonctionnement de l'Association,10000.0,DAC,Fonctionnement,none
2022_07327,2022,OEUVRES HOSPITALIERES FRANCAISES DE L'ORDRE DE MALTE (ORDRE DE MALTE FRANCE),30980200000000.0,FAL15,1000.0,DDCT,Fonctionnement,none
2023_08477,2023,ASSOCIATION CONTRE LES VIOLENCES SUR MINEURS  (ASSOCIATION CVM),50389800000000.0,Analyse de la prostitution des mineurs sur Paris,25000.0,DDCT,Projet,['education & formation']
2022_07690,2022,RÉSEAU RAJE,47939200000000.0,JEUNES REPORTERS 75 - Éduquer aux médias et à la citoyenneté dans les quartiers prioritaires,2000.0,DJS,Projet,none
2024_04601,2024,AGENCE DE DEVELOPPEMENT DES RELATIONS INTERCULTURELLES POUR LA  CITOYENNETE (ADRIC),45190300000000.0,L¿INSERTION SOCIOPROFESSIONNELLE DES FEMMES MIGRANTES : RENFORCEMENT DES COMPÉTENCES DES ACTEURS,2000.0,DDCT,Projet,['education & formation']
2024_05363,2024,CERCLE D'ESCRIME FRANCO-CUBAIN PATTERSON-BETANCOURT - C.E.F.C. PATTERSON-BETANCOURT,49761100000000.0,FSF20,1500.0,DDCT,Fonctionnement,['sport']
2024_04470,2024,COLLECTIF DES ACCIDENTES DU TRAVAIL HANDICAPES ET RETRAITES POUR L'EGALITE DES DROITS CATRED,39022400000000.0,CATRED Services : Un accompagnement renforcé vers une inclusion durable des publics retraités/âgés,7000.0,DSOL,Fonctionnement,['social']
2024_05424,2024,COLLECTIF DES AMIS DE L'AFRIQUE,82368500000000.0,FSF18 site de festivités du 18ème duran,700.0,DDCT,Fonctionnement,['humanitaire']
2023_01549,2023,COUP DE POUCE,52365400000000.0,ANIMATION QUARTIER CHAUFOURNIER,1000.0,DDCT,Projet,['loisirs']
2024_00625,2024,CONSEIL DEMOCRATIQUE KURDE EN FRANCE (CDKF),52538000000000.0,Festival culturel kurde de Paris - 3e édition,10000.0,DAC,Fonctionnement,['culture & arts']
2022_02618,2022,TRAJECTOIRES RECHERCHE HISTORIQUE ET ACTION SOCIALE,43334700000000.0,Jeunesses et citoyennetés : ateliers de médiation éducative et culturelle,2000.0,DDCT,Fonctionnement,none
2023_02782,2023,DAUPHIN SUBAQUATIQUE CLUB DSC,49266600000000.0,Aide au fonctionnement saison 2022 - 2023,1500.0,DJS,Fonctionnement,['sport']
2024_04649,2024,KABUBU - L'AMITIE PAR LE SPORT (KABUBU),84422300000000.0,Favoriser l'engagement citoyen et le lien social entre personnes exilées et locales grâce au sport.,15000.0,DSOL,Fonctionnement,['sport']
2024_09268,2024,LE GARAGE NUMERIQUE,75351100000000.0,Jeunes citoyens numériques,3000.0,DAE,Projet,['technique & recherche']
2024_08248,2024,ASSOCIATION SOLIDARITE SIDA,39861300000000.0,FESTIVAL SOLIDAYS 2024,170000.0,DSP,Projet,['santé']
2024_03506,2024,LES ÉVADÉS,82384900000000.0,Vinegar Tom - SV24RES1,3000.0,DAC,Projet,['culture & arts']
2022_09847,2022,"PARIS 14, TERRITOIRE DE CINEMA",83479400000000.0,Crédits BLOCHE 2022,2000.0,DAC,Fonctionnement,none
2024_00882,2024,CULTURE ET BIBLIOTHEQUES POUR TOUS,78431600000000.0,Valorisation de la lecture favorisant la réussite scolaire et éducative à la bibliothèque Charléty,1500.0,DDCT,Projet,['culture & arts']
2024_00813,2024,SOYER SPORT ECOLE DE JUDO DES MINES,53756600000000.0,ACCOMPAGNEMENT D'UN CLUB DE JUDO DE 750 ADHERENTS DANS LE 5ème. Meilleur club Jeune de Paris 2023.,4000.0,DJS,Fonctionnement,['sport']
2022_04498,2022,RESEAU DES ASSOCIATIONS POUR LE MAINTIEN D'UNE AGRICULTURE PAYSANNE D'ILE DE FRANCE,48031300000000.0,RENFORCEMENT DU MOUVEMENT DES AMAP AU SEIN DE LA VILLE DE PARIS,20000.0,DAE,Projet,none
2024_05265,2024,MIAM,82085600000000.0,FSF10,1350.0,DDCT,Fonctionnement,['education & formation']
2024_03959,2024,ASSOCIATION D'HISTOIRE ET D'ARCHEOLOGIE DU XXE ARRONDISSEMENT DE PARIS,53449800000000.0,Finacement des bulletins et du site de l'AHAV,2000.0,DAC,Fonctionnement,['culture & arts']
2024_09334,2024,BALUSTRADE,34856000000000.0,FME 2024,31750.0,DFPE,Investissement,['loisirs']
2023_01830,2023,MACCABI PARIS METROPOLE - MACCABI PARIS 12EME,75253100000000.0,convention pluriannuelle d'objectifs 21-23,55000.0,DJS,Fonctionnement,['sport']
2024_00680,2024,ECHOMUSEE,50460000000000.0,CPO SPV - Galerie Echomusée tiers-espace d'initiatives culturelles- PV,7500.0,DDCT,Projet,['culture & arts']
2024_08148,2024,DAVOUT RELAIS,79515800000000.0,J'aime mon quartier dans tous ses états,2000.0,DJS,Projet,none
2024_05452,2024,MEMOIRE 2000,39155900000000.0,Halte aux discriminations stop au harcèlement,4000.0,DDCT,Indéterminée,none
2023_08439,2023,SYNDICAT D'INITIATIVE DU XVIEME,42974600000000.0,FONDS D'ANIMATION LOCALE 2023/FAL,1500.0,DDCT,Fonctionnement,['culture & arts']
2023_01802,2023,UNION SPORTIVE DU COLLEGE LEON GAMBETTA,50525700000000.0,fonctionnement pour l'année 2022-2023,2500.0,DJS,Fonctionnement,['sport']
2024_08977,2024,TOUT AUTRE CHOSE,50114800000000.0,Toutes générations confondues : bien vivre ensemble dans le 9e - FAL2024,500.0,DDCT,Fonctionnement,none
2024_04877,2024,ASSOCIATION CHAMPIONNET,77569300000000.0,"Organisation d'événements, de marchés solidaires et d'expositions par l'ESAT Ménilmontant",5000.0,DSOL,Fonctionnement,none
2024_08044,2024,ZAMÂN BOOKS & CURATING,49425100000000.0,Organisation d'un colloque dans le cadre de l'exposition Présences Arabes,5000.0,DAC,Projet,none
2024_03041,2024,BABILLAGES,32079800000000.0,BP 2024 Babillages,125211.0,DFPE,Fonctionnement,none
2022_10205,2022,ARTAÏS -  ART CONTEMPORAIN,49823900000000.0,Aide à projet d'exposition-BAV22DIF2,8000.0,DAC,Projet,none
2024_09167,2024,IM'PACTES,92018000000000.0,Programme scolarité/culture ASE,50000.0,DSOL,Indéterminée,none
2024_08770,2024,LA NUIT COMME EN PLEIN JOUR,41758400000000.0,Festival les Rencontres de la Nuit 2024,5000.0,DAC,Indéterminée,none
2024_10088,2024,LE RECHO,82281700000000.0,Les activités de gastronomie sociale et solidaire du RECHO en Ile-de-France,8000.0,DEVE,Fonctionnement,none
2023_08711,2023,ASSOCIATION BROUHA ART,49779200000000.0,VANILLE : Ateliers photographiques sur le consentement,1000.0,DDCT,Projet,['culture & arts']
2023_01870,2023,BAHAMAS,41892200000000.0,"Pratique de la natation (loisir, compétition et psychomotricité) public : handicapés mentaux",1500.0,DJS,Fonctionnement,['sport']
2023_02095,2023,COLLECTIF INTERSEXE ACTIVISTE - OII FRANCE,83755900000000.0,Rencontre et conférence européenne intersexe à Paris,3000.0,DDCT,Projet,['santé']
2023_08760,2023,DANS LE GENRE EGALES,43838700000000.0,"Déconstruction stéréotypes sexistes/Respect, égalité dans la vie affective, amoureuse et sexuelle.",7000.0,DDCT,Projet,['education & formation']
2023_04321,2023,LA SOURCE PARIS,83192500000000.0,Subvention de fonctionnement 2023 - La Source-Paris,10000.0,DAC,Projet,['culture & arts']
2023_00355,2023,OFFICE DU MOUVEMENT SPORTIF DU 10EME ARRONDISSEMENT,45294200000000.0,subvention annuelle de fonctionnement,5000.0,DJS,Fonctionnement,['sport']
2023_10469,2023,VILLAGE PASTEUR-VAUGIRARD-MONTPARNASSE,80515500000000.0,Illuminations2023,3400.0,DAE,Fonctionnement,['vie et animation locale']
2022_00561,2022,LES ARCHERS DES TROIS LYS,44771400000000.0,Tir à l'Arc tous publics : proposer une pratique sportive à des personnes en situation de handicap.,1500.0,DJS,Fonctionnement,none
2024_00329,2024,LA BAGAGERIE D'ANTIGEL,52221600000000.0,FONCTIONNEMENT DE L'ASSOCIATION POUR 2024,20000.0,DSOL,Indéterminée,['précarité & exclusion']
2024_04537,2024,LA COMEDIE DES ANGES,41052400000000.0,PDC2024  POESIE SUR LE VIF,600.0,DEVE,Indéterminée,['culture & arts']
2022_01346,2022,SPORTING CLUB NORD PARISIEN SCNP,48380700000000.0,"CONVENTION D'OBJECTIF, AIDE DÉVELOPPEMENT SPORTIF, SOCIAL ET CULTUREL",27000.0,DJS,Fonctionnement,none
2022_06381,2022,SYTTEEN,90073100000000.0,CIA - QPV De la citoyenneté à l¿insertion par l¿actionLigne transversale jeunesse,3000.0,DDCT,Projet,none
2023_03874,2023,ASSOCIATION DE POLITIQUE CRIMINELLE APPLIQUEE ET DE REINSERTION SOCIALE (APCARS),32073400000000.0,Accompagnement des auteurs présumés de violences conjugales - dispositif APVC,77000.0,DPMP,Projet,['social']
2023_02812,2023,ASSOCIATION POUR LA DEFENSE DES FAMILLES ET DE L'INDIVIDU VICTIMES DES SECTES ADFI,31184500000000.0,"Actions auprès des victimes de dérives sectaires, actions de prévention tous publics, sensibilisatio",15000.0,DPMP,Fonctionnement,['idée & opinion']
2023_02114,2023,GLACE ET ROLLER INLINE DE PARIS GRIP PARIS ICE AND ROLLER INLINE PIRI,49418600000000.0,Fonctionnement 2023,800.0,DJS,Fonctionnement,['sport']
2023_05633,2023,L'IMPOSSIBLE,50446300000000.0,« LES CRÉATIFS CHRONIQUES »TROUPE PERMANENTE COMPOSÉE DE PERSONNES EN SITUATION DE HANDICAP(PARIS,9000.0,DAC,Projet,['culture & arts']
2023_03012,2023,POINT VERT,33290100000000.0,AIDE AUX DEPARTS DE PARISIENS EN SITUATION DE HANDICAP MENTAL ET PSYCHIQUE,3500.0,DSOL,Fonctionnement,['tourisme']
2023_06261,2023,POINT VIRGULE,38341900000000.0,Diffusion du spectacle ENTRE de Claire Jenny,7000.0,DAC,Projet,['culture & arts']
2022_09166,2022,"CENTRE RÉGIONAL DE COORDINATION DES DÉPISTAGES DES CANCERS D'ILE DE FRANCE ""CRCDC-IDF""",84415500000000.0,SUBVENTION D'INTERET GENERAL POUR LE DEPISTAGE ORGANISE DES CANCERS DE LA POPULATION PARISIENNE,750000.0,DSP,Projet,none
2022_00394,2022,MISSION D'INTERVENTION ET DE SENSIBILISATION CONTRE LA TRAITE DES ETRES HUMAINS  (MIST),88790700000000.0,Intégration des femmes victimes de TEH aux fins d'exploitation sexuelle et/ou de proxénétisme.,20000.0,DDCT,Projet,none
2024_08477,2024,ÉDITIONS EXTENSIBLES,80914200000000.0,soutien-résidence_Marc-Buchy_AU-LIEU AAP24BAV,4000.0,DAC,Projet,none
2024_04062,2024,LA GRANDE FUGUE,75257900000000.0,Concerts Lyriques en Ehpad,10000.0,DSOL,Fonctionnement,none
2024_09291,2024,URGENCE JEUNES,40878400000000.0,Dispositif lycéens étrangers isolés,306121.0,DSOL,Fonctionnement,['social']
2022_04107,2022,THEATRE SUR PAROLES,84199900000000.0,"« TR.I.P - 3ème édition du projet de troupe itinérante pluridisciplinaire amateur(s)""",4000.0,DAC,Projet,none
2024_04118,2024,ORCHESTRE SYMPHONIQUE ET LYRIQUE DE PARIS,49102400000000.0,demande pour fonctionnement 2024,2000.0,DAC,Projet,none
2022_02611,2022,COLLECTIF DES ASSOCIATIONS CITOYENNES CAC,42511000000000.0,Université des savoirs associatifs,7000.0,DDCT,Fonctionnement,none
2022_03369,2022,CRESUS ILE DE FRANCE (CIDF),45289600000000.0,"Permanence de surendettement à PARIS :Accueil, information et accompagnement despersonnes endett",50000.0,DSOL,Fonctionnement,none
2022_03993,2022,DROIT PLURIEL,82093000000000.0,"""Agir Handicap"" : la permanence d¿accès aux droits 100% accessible",5000.0,DSOL,Projet,none
2022_06826,2022,LA RUE BLANCHE-ENSATT,80214500000000.0,Célébrer les 81 ans de l'école nationale de théâtre l'ENSATT-La rue blanche - FAL 09,500.0,DDCT,Fonctionnement,none
2022_10218,2022,LES GRANDES PERSONNES,42299000000000.0,"Le Grand Banquet des Géants, Carte blanche à la compagnie Les Grandes Personnes.SV22DIF2",10000.0,DAC,Projet,none
2022_09464,2022,LINKEE PARIS (LP),83763500000000.0,Pérennisation du dispositif de Solidarité alimentaire pour la vie étudiante 2022/2023,200000.0,DAE,Projet,none
2022_05618,2022,MUSICA  ITALIANA,52883000000000.0,"LPE2022 - Festival ""Canzoni & Parole"",Concerts, chanson italienne, école, langue, eco-responsable",5000.0,DGRI,Projet,none
2022_05808,2022,OFFICE DU MOUVEMENT SPORTIF DU 18EME ARRONDISSEMENT DE PARIS,51749600000000.0,demande de subvention annuelle de fonctionnement.,15000.0,DJS,Fonctionnement,none
2024_04471,2024,ASSOCIATION POUR LA MEMOIRE DES ENFANTS JUIFS DEPORTES DU 18EME ARRONDISSEMENT DE PARIS - AMEJD 18,81054300000000.0,Développer la mémoire de la Shoah auprès des élèves de primaire et secondaire,5000.0,DAC,Fonctionnement,none
2024_05858,2024,COMITE DEPARTEMENTAL DE PARIS DE HAND BALL,31497600000000.0,Convention Pluriannuelle d'objectifs,15000.0,DJS,Fonctionnement,none
2024_02809,2024,OHEL ESTHER,43382000000000.0,BP 2024,175282.0,DFPE,Fonctionnement,none
2024_00454,2024,EAU ET VIE,52997600000000.0,Leyt¿eau : Améliorer les conditions de vie dans 6 zones de relogement post typhon Haiyan,30000.0,DGRI,Projet,['santé']
2024_06503,2024,LE CLUB DU CINQUIEME,42389100000000.0,Demande  annuelle de subvention de fonctionnement - Sports/Jeunesse/Seniors,4100.0,DJS,Fonctionnement,['sport']
2024_08079,2024,SOCIETE SPORTIVE MOULIN DES PRES,39295200000000.0,Fonctionnement 2024,1000.0,DJS,Fonctionnement,['sport']
2022_02259,2022,STONEHENGE PROD,79838800000000.0,"Les femmes, histoires d¿hier et d¿aujourd¿hui, Histoire de demain",2000.0,DDCT,Projet,none
2022_07356,2022,ARS MOBILIS,39052100000000.0,Subvention au titre de l'amendement Bloche,1500.0,DAC,Fonctionnement,none
2022_01750,2022,CANOPY,48880300000000.0,IMPACTACT-ETRE DIFFERENT,3000.0,DDCT,Projet,none
2022_00661,2022,CLAIR ET NET,41491800000000.0,IAE BESC,55000.0,DAE,Projet,none
2022_08456,2022,ENSEMBLE POUR L'ESPOIR ET LE DEVELOPPEMENT - L'EED,81316500000000.0,Le Guidimakha traite et gère ses déchets,10000.0,DGRI,Projet,none
2022_08460,2022,"INSTITUT POUR LE DEVELOPPEMENT, L'ENVIRONNEMENT ET L'ENERGIE - IDE-E",81087800000000.0,Projet Phu Yen Zéro Déchet - APPEL À PROJETS SOLIDAE21,9000.0,DGRI,Projet,none
2022_10319,2022,L' AMIN THÉÂTRE,40346700000000.0,Aide à la diffusion du spectacle LE DODO ET LE VOYAGEUR au Théâtre du Parc (Parc Floral Paris).,9000.0,DAC,Projet,none
2022_05606,2022,M - C- ART,52532200000000.0,Ateliers pédagogiques des temps d'activités périscolaires,2600.0,DASCO,Projet,none
2023_02796,2022,SOLIDARITES INTERNATIONAL,38951500000000.0,Réponse d'urgence EHA à Haïti (ZMPP),40000.0,DGRI,Projet,none
2023_03421,2023,ASSOCIATION NATIONALE DES ÉTUDIANT·ES EN SCIENCES ET TECHNIQUES DES ACTIVITÉS PHYSIQUES ET SPORTIVES,49520700000000.0,"Journée Nationale du Sport et du Handicap 2023, ANESTAPS",2500.0,DJS,Fonctionnement,['education & formation']
2023_01262,2023,COTRAVAUX - RÉSEAU D'ACTEURS DU TRAVAIL VOLONTAIRE,77622200000000.0,"Des parcours de citoyenneté, d'engagement et de mobilité pour toutes et tous",3000.0,DDCT,Fonctionnement,['loisirs']
2023_00280,2023,FEMINA SPORT,30836400000000.0,Subvention liée à la Convention d'objectifs avec la Ville de' Paris,20000.0,DJS,Fonctionnement,['sport']
2023_00221,2023,"ECOLE DE LA 2E CHANCE DE PARIS ""E2C PARIS""",49300500000000.0,E2C Paris - Ecole de la 2e Chance de Paris,400000.0,DAE,Fonctionnement,['social']
2023_05476,2023,LA REPUBLIQUE DE MONTMARTRE,53759700000000.0,fonctionnement général de l'association,2000.0,DDCT,Fonctionnement,['culture & arts']
2023_04617,2023,LES 4 ARTS - PARIS CENTRE,53775100000000.0,Aide à l'organisation d'expositions basées sur des échanges avec des pays européens.,4000.0,DAC,Fonctionnement,['culture & arts']
2023_08384,2023,OFFICE DU MOUVEMENT SPORTIF DU XVIE ARRONDISSEMENT,32082500000000.0,subvention au titre du fond d'animation locale/FAL,1000.0,DDCT,Fonctionnement,['sport']
2024_00745,2023,SPORTING PARIS 20 TENNIS DE TABLE,42824200000000.0,Demande de subvention exceptionnelle : déplacements compétitions Nationales,5000.0,DJS,Fonctionnement,['sport']
2024_03304,2024,COUP D'MAIN,40805900000000.0,IAE BIAE (DAE),39000.0,DAE,Fonctionnement,none
2024_09638,2024,UNION NATIONALE DES COMBATTANTS (U.N.C.),50212500000000.0,FAL MA08 UNC 75 JOUNEES PEDAGOGIQUES MONT VALERIEN,2500.0,DDCT,Fonctionnement,none
2024_05621,2024,PARIS JEAN BOUIN,78466300000000.0,Soutien aux actions menées par les sections du Paris Jean Bouin,30000.0,DJS,Fonctionnement,['sport']
2022_02526,2022,INSPIRE,90297400000000.0,"JeunesseProjet ""Jeunes Pousses"" : sensibiliser jeunes égalité et inclusion",3000.0,DDCT,Projet,none
2024_04729,2024,NADJASTREAM,50510600000000.0,Les Nuits des Arènes,7000.0,DJS,Fonctionnement,none
2024_10137,2024,NOTRE CAFE MARAIS,88915600000000.0,RDV festif  du CLH de Paris -Centre /Mois local du handicap  23 juin 2024,9000.0,DSOL,Fonctionnement,none
2024_07456,2024,LE PETIT ESCARGOT,82139100000000.0,Appel à projets n°TAP2024,9400.0,DASCO,Fonctionnement,none
2023_09976,2023,3 CHEMINS,88148300000000.0,Demande d'aide financière au fonctionnement de l'association,35000.0,DAE,Fonctionnement,['culture & arts']
2023_03555,2023,ALTER'ACTIONS,53789900000000.0,Accompagner l'ESS parisienne dans son développement tout en favorisant l'engagement étudiant,15000.0,DAE,Fonctionnement,['social']
2023_07531,2023,ASSOCIATION DE GESTION DU CONSEIL CITOYEN DU 19EME ARRONDISSEMENT DE PARIS,92318700000000.0,subvention de soutien au conseil citoyen du 19ème arrondissement de la Ville de Paris/QPV,2000.0,DDCT,Projet,['idée & opinion']
2023_01995,2023,CLUB DE PLONGEE DU VÈME,44964900000000.0,Subvention de fonctionnement,1500.0,DJS,Fonctionnement,['sport']
2023_06004,2023,LE K.A.B,82469100000000.0,Projets 2023,6100.0,DAC,Projet,['loisirs']
2022_04482,2022,LES RUCHES POP,83020800000000.0,"« L¿apiculture urbaine, s¿adapter au changement climatique »",1000.0,DEVE,Fonctionnement,none
2022_10072,2022,RUE DES MARTYRS,75010500000000.0,PARIS ILLUMINE PARIS 2022-2023,6700.0,DAE,Fonctionnement,none
2022_00183,2022,AS LPO EDGAR QUINET,89906100000000.0,Subvention pour aider l'association sportive du lycée polyvalent Edgar Quinet,500.0,DJS,Fonctionnement,none
2023_09477,2023,REUSSIR  PARIS 18,83231300000000.0,FONCTIONNEMENT QPV 2023 / DJS,1000.0,DJS,Fonctionnement,['sport']
2023_04688,2023,SOCIETE HISTORIQUE DU VI EME ARRONDISSEMENT,39024200000000.0,Subvention de fonctionnement,3500.0,DAC,Fonctionnement,['culture & arts']
2024_03744,2024,ASSOCIATION SPORTIVE DE L'UNIVERSITE PANTHEON ASSAS PARIS 2,30058900000000.0,subvention Association Sportive,1750.0,DJS,Fonctionnement,['sport']
2024_00994,2024,LA BAGAGERIE COEUR DU CINQ - LBCC,81403300000000.0,La Bagagerie Coeur du Cinq,25000.0,DSOL,Indéterminée,['social']
2024_02871,2024,ASSOCIATION ADVOCACY PARIS ILE DE FRANCE,44531400000000.0,Permanence accueil droits recours de l'Espace Convivial Citoyen Advocacy,13000.0,DSOL,Fonctionnement,none
2024_10938,2024,DISTRICT PARISIEN DE FOOTBALL,89203100000000.0,IMPACT 2024,15000.0,DDCT,Projet,none
2022_03414,2022,4A ATELIERS ARTISTIQUES ACCOMPAGNEMENT ART THERAPIE,84536500000000.0,Edition Originale - Dispositif spécifique de médiation artistique à destination des jeunes personnes,4000.0,DSOL,Projet,none
2024_04762,2024,"LE RELAIS, CENTRE DE RECHERCHE THEATRALE",48102400000000.0,SENIOR MOBILE - Danse assise en EHPAD,6000.0,DAC,Fonctionnement,['culture & arts']
2024_10849,2024,ASSOCIATION DES SOURCES DE LA SEINE,50051400000000.0,Passage de la flamme olympique sur le site des Sources de la Seine,2000.0,DTEC,Projet,none
2024_09246,2024,COMPAGNIE LES HYMENOPTERES,92359900000000.0,Mise en place d'une action culturelle de théâtre autour de la thématique des jeunes inventeurs,3500.0,DAE,Indéterminée,none
2023_10148,2023,ASSOCIATION DES COMMERCANTS DE LA RUE VOUILLE,83526700000000.0,"eclairage Noël 2023/""LLUM2023""",1500.0,DAE,Fonctionnement,['social']
2023_02874,2023,CLUB POPULAIRE SPORTIF DU 10EME CPS 10EME,42814000000000.0,fonctionnement C.P.O.,16600.0,DJS,Fonctionnement,['sport']
2023_05843,2023,CULTURE (S) EN HERBE (S),51887700000000.0,Un jardin comme lieu de transmission et partage,2000.0,DEVE,Projet,['social']
2023_02107,2023,DESSINE MOI UN MOUTON,38267600000000.0,Accompagnement global des personnes en situation de précarité et porteuses d'une maladie chronique,41000.0,DSP,Fonctionnement,['social']
2023_04204,2023,SERVICE PLUS A LA PERSONNE,51891200000000.0,subvention de fonctionnement 2023soutien à l'accompagnement de nos intervenants spécialisés,25000.0,DSOL,Fonctionnement,['social']
2023_09803,2023,STADIOS COLLECTIF,90762500000000.0,Aide à la diffusion dans le domaine du spectacle vivantSV23DIF2,7000.0,DAC,Projet,['culture & arts']
2024_00256,2023,VILLAGE BRANCION-MORILLONS ASSOCIATION DE VOS COMMERCANTS,87839300000000.0,ILLUMINATIONS NOEL 2023,4800.0,DAE,Fonctionnement,['culture & arts']
2022_09804,2022,CULTURES AUX JARDINS,75295900000000.0,L'ECOLOGIE CULTURELLE LE LIEN ENTRE ART ET ENUIT BLANCHE A L ACADEMIE DU CLIMAT LE 1 er OCTOBRE 2022,10000.0,DASCO,Projet,none
2022_04366,2022,SOCIETE FRANCAISE DE PHOTOGRAPHIE,78431000000000.0,Fonctionnement courant de l'association pour l'année 2022,6000.0,DAC,Fonctionnement,none
2024_10575,2024,DANS LE GENRE EGALES,43838700000000.0,"Déconstruction des stéréotypes sexistes et Education à la vie relationnelle, affective et sexuelle",7000.0,DDCT,Projet,none
2024_10990,2024,INSTITUT FRANÇAIS DE FORMATION EN COMMUNICATION ET MANAGEMENT ASSOCIATION (IFFCOM ASSOCIATION),82200300000000.0,Formation visant à préqualifier les candidats aux métiers techniques du secteur de l'énergétique,28000.0,DAE,Fonctionnement,none
2024_11771,2024,LINKEE FRANCE - ENTRAIDE ETUDIANTE,83763500000000.0,Pérennisation du dispositif de Solidarité alimentaire pour la vie étudiante,120000.0,DAE,Fonctionnement,none
2024_06631,2024,ASSOCIATION CULTURELLE ET SPORTIVE OUTRE-MER ACSOM,51747100000000.0,Au Fonctionnement de l'Association pour l'année 2024.,700.0,DJS,Fonctionnement,none
2024_11099,2024,LA COMPAGNIE PAR HAS'ARTS,50031600000000.0,Sensibiliser par l¿action aux enjeux de la transition écologique FAR Paris 11e 2024,3000.0,DEVE,Projet,none
2024_04973,2024,JUSTE AVANT L'AUBE,44265500000000.0,Constellations 2024,5000.0,DAC,Projet,none
2023_00053,2023,AIKIDO CLUB PARISIEN ACP,41030800000000.0,Participation à la rémunération d'un assistant cours enfants saison 2022-2023,700.0,DJS,Fonctionnement,['sport']
2023_01167,2023,ASSOCIATION LES MAMANS DU DIX SEPTIEME ARRONDISSEMENT DE PARIS,92003600000000.0,Mamans en action !,800.0,DDCT,Projet,['culture & arts']
2023_02022,2023,FEDERATION FRANCAISE DES CLUBS POUR L'UNESCO,77566600000000.0,S'engager pour la défense de Droits Humains,2000.0,DDCT,Projet,['culture & arts']
2023_01820,2023,GYM PARIS 15,40948900000000.0,FONCTIONNEMENT 2023,55000.0,DJS,Fonctionnement,['sport']
2024_05877,2024,CAISSE DES REGLEMENTS PECUNIAIRES EFFECTUES PAR LES AVOCATS A LA COUR DE PARIS CARPA,78418100000000.0,CONSULTATIONS AVOCATS BARREAU DE PARIS EN MAIRIES D ARRONDISSEMENTS,296750.0,DAJ,Fonctionnement,['economie']
2024_03341,2024,CHOMEURS ET PRECAIRES DE PARIS C.P.P.,40900800000000.0,Accompagnement des chômeurs et précaires vers leurs droits,24000.0,DSOL,Fonctionnement,['précarité & exclusion']
2024_05958,2024,FC SOLITAIRES PARIS EST,45073700000000.0,Mieux vivre ensemble dans le sport ou comment éviter toutes formes de dérives,35000.0,DJS,Fonctionnement,none
2024_07080,2024,FEDERATION DES ACTEURS DE LA SOLIDARITE ILE-DE-FRANCE,38434200000000.0,Accueil et accompagnement des personnes LGBTIQ dans l'hébergement,3000.0,DDCT,Projet,none
2022_07357,2022,ASSOCIATION POUR L'ESTAMPE ET POUR L'ART POPULAIRE,49350200000000.0,"Atelier de gravure participatif dans l'espace public, dans le cadre de l'enveloppe Bloche",1000.0,DAC,Fonctionnement,none
2022_07054,2022,CENTRE NATIONAL EDITION ART IMAGE,40805000000000.0,Aide à la diffusion d¿œuvres dans le domaine des arts visuel,8370.0,DAC,Projet,none
2022_10066,2022,LA COMPAGNIE DES HOMMES,40900000000000.0,"DIffusion du spectacle Céleste, ma planète de Timothée de Fombelle et Didier Ruiz-AAP-SV22DIF2",10000.0,DAC,Projet,none
2022_04003,2022,LES PETITS BONHEURS,50757200000000.0,"Accompagnement et soutien de personnes vivant avec le VIH, particulièrement isolées [...]",19000.0,DSP,Projet,none
2023_06684,2023,CENTRE DU LOGEMENT DES JEUNES TRAVAILLEURS ETUDIANTS ET STAGIAIRES CLJT,77569700000000.0,SUBVENTION FONCTIONNEMENT 2023,164700.0,DJS,Fonctionnement,['social']
2023_10375,2023,CINQ SUR CINQ,53146900000000.0,PARIS ILLUMINE PARIS,2300.0,DAE,Fonctionnement,['architecture & urbanisme']
2023_10846,2023,COLLECTIF AU FIL DU RAIL,91348100000000.0,Ligne Urbanisme transistoire ¿ Service politique de la ville ¿ Rampe d¿accès TLM,10000.0,DDCT,Projet,['culture & arts']
2023_04838,2023,ESPOIR CENTRES FAMILIAUX DE JEUNES,77567900000000.0,La ferme du jardin d'Eole,143000.0,DPMP,Projet,['social']
2023_03013,2023,SECOURS EMPLOI,34483500000000.0,IAE BESC,56000.0,DAE,Fonctionnement,['social']
2023_08479,2023,SOLIDARITE LOGEMENT,50739100000000.0,Fonds d¿animation locale du 16e/FAL16,1500.0,DDCT,Fonctionnement,['social']
2022_01196,2022,CLUB 608 D'ÉCHECS DE PARIS,51227800000000.0,Participation aux Championnats de France d¿Échecs par équipe Mixte et Féminine 2022.,1000.0,DJS,Fonctionnement,none
2022_00625,2022,ELLE'S IMAGINE'NT,51342100000000.0,Dispositif d'accompagnement psychologique pour les femmes et jeunes femmes victimes de violences,16000.0,DDCT,Projet,none
2022_03776,2022,PARIS ALESIA FOOTBALL CLUB,44082200000000.0,Subvention 2022-2023,40000.0,DJS,Fonctionnement,none
