numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2023_08057,2023,ESPACE 16,31797600000000.0,FAL17,1500.0,DDCT,Fonctionnement,['education & formation']
2023_10194,2023,ALLERS-RETOURS,83045000000000.0,Soutien au Festival Allers-retours,3000.0,DAC,Fonctionnement,['culture & arts']
2022_05086,2022,LIGUE DE L'ENSEIGNEMENT FEDERATION DEPARTEMENTALE DE PARIS MOUVEMENT D'EDUCATION POPULAIRE FEDERATION DE PARIS DE LA LIGUE DE L'ENSEIGNEMENT,78441400000000.0,Juniors associations: un outil pour le développement d¿une culture de l¿engagement associatif,5000.0,DDCT,Fonctionnement,none
2023_10534,2023,LES JASEUSES,92378000000000.0,BLOCHE 2023 Les Jaseuses,1000.0,DAC,Projet,['culture & arts']
2022_03075,2022,PRO BONO LAB,53404700000000.0,Accompagnement d'associations et partage de compétences,7000.0,DDCT,Fonctionnement,none
2023_02128,2023,"MOUVEMENT D'AFFIRMATION DES JEUNES LESBIENNES, GAIS, BI·ES, TRANS ET PLUS - MAG JEUNES LGBT+",40301400000000.0,2023 : Centre d'accueil pour les jeunes LGBT+,4000.0,DDCT,Projet,['education & formation']
2023_08590,2023,FANATIKART,79423100000000.0,Co-financement d'un poste adultes-relais REF :075 19 R0031 01,5875.0,DDCT,Fonctionnement,['culture & arts']
2024_00739,2023,PARIS SPORT CLUB,38943800000000.0,SUBVENTION EXCEPTDéplacements Nationaux de nos équipes Handball Triathlon et Athlétisme,5000.0,DJS,Fonctionnement,['sport']
2023_08361,2023,REGIE DE QUARTIER FONTAINE AU ROI,45109500000000.0,Support au Lien Social,1500.0,DDCT,Projet,['précarité & exclusion']
2023_04392,2023,UNION DES ASSOCIATIONS DE CHANTIERS DE SAUVEGARDE ET D'ANIMATION POUR LA REHABILITATION ET L'ENTRETIEN DES MONUMENTS ET DU PATRIMOINE ARTISTIQUE - UNION R.E.M.P.A.R.T.,78467200000000.0,Favoriser l'accès des (jeunes) parisiens aux chantiers de bénévoles pour le patrimoine,5500.0,DAC,Fonctionnement,['education & formation']
2023_02317,2023,VOIX DE FEMMES,43004700000000.0,Accompagnement individualisé des jeunes parisien.n.e.s confronté.e.s à un mariage forcé,6000.0,DDCT,Projet,['education & formation']
2022_03667,2022,ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS ET DE CEREBRO-LESES ILE DE FRANCE/PARIS (AFTC IDF/PARIS),40049000000000.0,AFTC IDF/PARIS demande de  subvention de  fonctionnement,3000.0,DSOL,Fonctionnement,none
2023_03074,2023,LE PAPOTIN FENETRE SUR LA VILLE,45199000000000.0,Fonctionnement courant de l'association Le Papotin-Fenêtre sur la ville,9000.0,DSOL,Fonctionnement,['communication & média']
2022_06325,2022,ASSOCIATION DES LOISIRS RESIDENTIELS DES MARINIERS LOREM,38757500000000.0,DASES SEPLEX IN,40000.0,DSOL,Fonctionnement,none
2022_03794,2022,ASSOCIATION REPUBLICAINE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE ET DES COMBATTANTS POUR L'AMITIE LA SOLIDARITE LA MEMOIRE L'ANTIFASCISME ET LA PAIX ARAC 19EME SECTION,53511800000000.0,"Subvention de fonctionnement, réalisation d'actions mémoire et solidaire",600.0,DAC,Fonctionnement,none
2022_00984,2022,ASSOCIATION SPORTIVE DE LA POLICE DE PARIS (ASPP),77568100000000.0,Fonctionnement 2022,1000.0,DJS,Fonctionnement,none
2022_00289,2022,BLANQUI ITALIE CORVISART PETANQUE,81388400000000.0,Fonctionnement courant de l'association BIC (Blanqui Italie Corvisart Pétanque Paris 13),700.0,DJS,Fonctionnement,none
2022_08400,2022,GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES GRET,30912300000000.0,Appui aux Initiatives des Collectivités pour l¿Hydraulique et l¿Assainissement (Aicha)¿ 5 Communes -,25000.0,DGRI,Projet,none
2022_05053,2022,CITOYENNETE POSSIBLE,51897500000000.0,Mieux se parler pour mieux s'entendre Paris 13e,1000.0,DDCT,Projet,none
2022_03600,2022,COMPAGNIE LES TOUPIES,40812500000000.0,Espaces de création artistique en mixité handi-valide,15000.0,DAC,Projet,none
2023_10347,2023,PASS'SPORT(S) POUR L'EMPLOI FORMATION,82777800000000.0,Module 2 Remobilisation par le Sport / Pass'Sport pour l'Emploi,33373.0,DAE,Projet,['sport']
2022_03847,2022,ENSEMBLE INTER CONTEMPORAIN,30666500000000.0,Subvention de fonctionnement,48000.0,DAC,Fonctionnement,none
2022_08505,2022,ERNEST CIRCUIT COURT SOLIDARITE (ERNEST CCS),80401000000000.0,ateliers de cuisine avec des habitant.e.s du QPV Buisson Saint-Louis,3500.0,DEVE,Projet,none
2022_04300,2022,LES 4 ARTS - PARIS CENTRE,53775100000000.0,Aide à l'organisation d'expositions basées sur des échanges avec des pays européens.,4000.0,DAC,Fonctionnement,none
2022_05217,2022,GO TO TOGO,52053300000000.0,Label SOLIDEV 2022 Une infrastructure sportive pour Akoumapé,5000.0,DGRI,Projet,none
2022_02995,2022,HALLE SAINT PIERRE,33457100000000.0,Subvention de fonctionnement 2022,136000.0,DAC,Fonctionnement,none
2022_02986,2022,MIGRATIONS SANTE FRANCE,78428800000000.0,Accès aux droits et accompagnement à l'autonomie en santé des jeunes en insertion socio-professionne,2000.0,DSP,Projet,none
2022_00694,2022,PARIS SAINT-GERMAIN HANDBALL ASSOCIATION,48360200000000.0,CONVENTION D'OBJECTIFS,37000.0,DJS,Fonctionnement,none
2022_06616,2022,NORIA RESEARCH,75329400000000.0,"Soutien au projet ""Promouvoir la jeune recherche en sciences humaines et sociales à Paris""",14600.0,DAE,Projet,none
2023_03140,2023,ASSOCIATION FRANCAISE BUCHENWALD DORA ET KOMMANDOS,78441300000000.0,SUBVENTION DE FONCTIONNEMENT 2023,3500.0,DAC,Fonctionnement,['mémoire']
2023_07579,2023,ASSOCIATION POUR LA GESTION DES OEUVRES SOCIALES DES PERSONNELS DES ADMINISTRATIONS PARISIENNES AGOSPAP,32385700000000.0,Fonctionnement Ville 2023,6742586.0,DRH,Fonctionnement,['tourisme']
2022_06963,2022,ALMAVIVA,44910000000000.0,LUNARIO,6000.0,DAC,Projet,none
2023_02345,2023,COMITE DEPARTEMENTAL DE RUGBY DE PARIS,44817900000000.0,Subvention de fonctionnement dans le cadre de la convention pluriannuelle d'objectifs 2021-2023,36800.0,DJS,Fonctionnement,['sport']
2022_08371,2022,AQUASSISTANCE,40434400000000.0,Projet d'amélioration des conditions d'accès à l'eau potable de 5 quartiers de Bafou au Cameroun,30000.0,DGRI,Projet,none
2024_02652,2024,CULTURE 21,48144900000000.0,VVV 2024 STREET ART SUR LE BOULEVARD,1000.0,DPMP,Projet,['culture & arts']
2022_00297,2022,LANGAGE DE FEMMES,83190900000000.0,Voyage de mémoire à Auschwitz,3000.0,DAC,Fonctionnement,none
2022_02600,2022,UNION DEPARTEMENTALE DES ASSOCIATIONS FAMILIALES DE PARIS,78441200000000.0,Médiation familiale 2022,8000.0,DFPE,Projet,none
2024_06507,2024,EN AVANT DE PARIS,33016700000000.0,Convention Pluriannuelle d'Objectifs,20000.0,DJS,Fonctionnement,['sport']
2024_06254,2024,ASSOCIATION DES AMIS DE LA FONDATION POUR LA MEMOIRE DE LA DEPORTATION,41022700000000.0,FONCTIONNEMENT ANNUEL 2024,6000.0,DAC,Fonctionnement,['education & formation']
2022_05041,2022,OBSERVATOIRE DES LOYERS,34368300000000.0,Subvention de fonctionnement,90000.0,DLH,Fonctionnement,none
2024_03869,2024,COLLECTIF LA PULSE,89903100000000.0,Louise Debaecker au Baiser Salé,6000.0,DAC,Projet,['loisirs']
2024_02797,2024,COMITE LOCAL POUR LE LOGEMENT AUTONOME DES JEUNES DE PARIS CLLAJ DE PARIS,42961100000000.0,Favoriser l'accès à un logement autonome des jeunes parisiens de moins de 30 ans,120000.0,DJS,Fonctionnement,['social']
2023_11047,2024,"INSTITUT POUR LE DEVELOPPEMENT, L'ENVIRONNEMENT ET L'ENERGIE - IDE-E",81087800000000.0,Projet Phu Yen Zéro Déchet - APPEL À PROJETS SOLIDAE21,9600.0,DGRI,Projet,['environnement & écologie']
2022_03852,2022,RESSAC VOLONTARIAT,40848500000000.0,Convention Pluriannuelle d'Objectifs signée le 15 mai 2019,7000.0,DSOL,Projet,none
2024_03268,2024,AMICALE DES PONGISTES DU 17EME - AP 17,44828500000000.0,Ping Pour Tous,4000.0,DJS,Fonctionnement,none
